"Date","Video Views","Profile Views","Likes","Comments","Shares"
"June 17","9","0","0","0","0"
"June 18","11","0","2","0","0"
"June 19","7","0","0","0","0"
"June 20","27","2","1","0","0"
"June 21","8","1","1","0","0"
"June 22","6","0","0","0","0"
"June 23","9","0","0","0","0"
"June 24","6","0","0","0","0"
"June 25","596","1","3","0","22"
"June 26","92","3","1","0","0"
"June 27","17","0","0","0","0"
"June 28","16","0","1","0","0"
"June 29","18","0","2","0","0"
"June 30","8","0","1","0","0"
"July 1","16","0","0","0","0"
"July 2","16","1","1","0","0"
"July 3","10","0","2","0","0"
"July 4","15","1","1","0","0"
"July 5","18","0","0","0","0"
"July 6","23","3","2","0","1"
"July 7","11","0","1","0","0"
"July 8","9","1","0","0","0"
"July 9","11","0","0","0","0"
"July 10","14","0","0","0","0"
"July 11","34","2","0","0","0"
"July 12","42","0","1","0","0"
"July 13","28","0","0","0","0"
"July 14","34","0","0","0","0"
"July 15","21","1","0","0","0"
"July 16","17","0","0","0","0"
"July 17","13","0","0","0","0"
"July 18","29","0","0","0","0"
"July 19","22","0","1","0","0"
"July 20","50","2","4","0","0"
"July 21","19","1","1","0","0"
"July 22","18","0","0","0","0"
"July 23","11","0","2","0","0"
"July 24","20","1","0","0","0"
"July 25","23","0","0","0","0"
"July 26","23","0","2","0","0"
"July 27","21","0","1","0","0"
"July 28","14","1","1","0","0"
"July 29","15","1","0","0","0"
"July 30","11","1","0","0","0"
"July 31","7","0","0","0","0"
"August 1","10","0","0","0","0"
"August 2","11","0","0","0","0"
"August 3","13","0","0","0","0"
"August 4","8","0","0","0","0"
"August 5","15","3","0","0","0"
"August 6","18","7","0","0","0"
"August 7","14","1","0","0","0"
"August 8","8","0","0","0","0"
"August 9","11","2","0","0","0"
"August 10","9","0","1","0","0"
"August 11","9","1","0","0","0"
"August 12","11","1","0","0","0"
"August 13","3","0","0","0","0"
"August 14","9","0","0","0","0"
"August 15","8","0","0","0","0"
"August 16","5","0","0","0","0"
"August 17","6","0","0","0","0"
"August 18","8","1","0","0","0"
"August 19","6","0","0","0","0"
"August 20","6","0","1","0","0"
"August 21","3","0","0","0","0"
"August 22","10","1","0","0","0"
"August 23","4","0","0","0","0"
"August 24","3","1","0","0","0"
"August 25","5","0","1","0","0"
"August 26","4","0","0","0","0"
"August 27","4","0","0","0","0"
"August 28","18","2","0","0","0"
"August 29","3","0","0","0","0"
"August 30","7","1","0","0","0"
"August 31","1","0","0","0","0"
"September 1","1","0","0","0","0"
"September 2","1","0","0","0","0"
"September 3","10","2","0","0","0"
"September 4","4","2","0","0","0"
"September 5","3","0","0","0","0"
"September 6","6","0","0","0","0"
"September 7","7","1","0","0","0"
"September 8","103","0","5","0","0"
"September 9","83","4","17","0","0"
"September 10","11","0","0","0","0"
"September 11","8","0","0","0","0"
"September 12","11","0","1","0","0"
"September 13","3","0","0","0","0"
"September 14","7","1","0","0","0"
"September 15","6","0","0","0","0"
"September 16","20","1","0","0","0"
"September 17","7","1","1","0","0"
"September 18","13","1","0","0","0"
"September 19","4","0","0","0","0"
"September 20","6","0","1","0","0"
"September 21","5","0","0","0","0"
"September 22","38","1","0","0","0"
"September 23","5","0","0","0","0"
"September 24","4","0","0","0","0"
"September 25","1","0","0","0","0"
"September 26","6","0","0","0","0"
"September 27","0","0","0","0","0"
"September 28","2","0","0","0","0"
"September 29","1","0","0","0","0"
"September 30","3","0","0","0","0"
"October 1","16","1","0","0","0"
"October 2","4","0","0","0","0"
"October 3","1","0","0","0","0"
"October 4","3","0","0","0","0"
"October 5","2","0","0","0","0"
"October 6","3","0","0","0","0"
"October 7","12","0","0","0","0"
"October 8","4","0","0","0","0"
"October 9","3","0","0","0","0"
"October 10","2","0","0","0","0"
"October 11","5","0","0","0","0"
"October 12","1","1","0","0","0"
"October 13","7","0","1","0","0"
"October 14","1","0","0","0","0"
"October 15","2","0","0","0","0"
"October 16","5","0","0","0","0"
"October 17","4","0","0","0","0"
"October 18","8","0","0","0","0"
"October 19","4","1","0","0","0"
"October 20","4","0","1","0","0"
"October 21","9","0","0","0","0"
"October 22","12","1","0","0","0"
"October 23","6","0","0","0","0"
"October 24","1","0","0","0","0"
"October 25","18","3","0","0","0"
"October 26","4","0","0","0","0"
"October 27","1","0","0","0","0"
"October 28","1","0","0","0","0"
"October 29","25","2","1","0","0"
"October 30","4","0","0","0","0"
"October 31","8","1","2","0","0"
"November 1","5","0","0","0","0"
"November 2","1","0","0","0","0"
"November 3","4","0","0","0","0"
"November 4","2","0","0","0","0"
"November 5","4","0","0","0","0"
"November 6","2","1","0","0","0"
"November 7","1","0","0","0","0"
"November 8","4","5","0","0","0"
"November 9","4","0","0","0","0"
"November 10","8","1","0","0","0"
"November 11","3","0","0","0","0"
"November 12","0","0","0","0","0"
"November 13","12","0","0","0","0"
"November 14","2","2","0","0","0"
"November 15","0","0","0","0","0"
"November 16","7","0","0","0","0"
"November 17","8","1","1","0","0"
"November 18","2","0","0","0","0"
"November 19","12","5","1","0","0"
"November 20","14","1","0","0","0"
"November 21","3","1","0","0","0"
"November 22","2","0","0","0","0"
"November 23","4","0","0","0","0"
"November 24","1","0","0","0","0"
"November 25","6","0","1","0","0"
"November 26","5","0","0","0","0"
"November 27","7","0","0","0","0"
"November 28","13","0","0","0","0"
"November 29","5","0","0","0","0"
"November 30","32","0","0","0","0"
"December 1","3","0","0","0","0"
