Artist:,Lady Vengeance,,,,,,,
Country:,,,,,,,,
,,,,,,,,
Album/artist/search
Date,Value,Percentage,PeriodOverPeriod
01/03/25,604,0.2924939467312349,-0.377960865087538619979
01/04/25,747,0.4220338983050848,0.236754966887417218543
01/05/25,327,0.0950029052876235,-0.562248995983935742972
01/06/25,12100,0.8341375982352131,36.003058103975535168196
01/07/25,11656,0.9200410450706449,-0.036694214876033057851
01/08/25,12347,0.9218994997386695,0.059282772820864790666
01/09/25,2142,0.7539598732840549,-0.82651656272778812667
01/10/25,105,0.1092611862643080,-0.950980392156862745098
01/11/25,35,0.0661625708884688,-0.666666666666666666667
01/12/25,5,0.0500000000000000,
